rank,school,member,normalized_school,normalized_member,icpc2025preliminary-1,icpc2025preliminary-2,ccpc2025preliminary,icpc2025xi_an,ccpc2025ladies,icpc2025chengdu,icpc2025wuhan,ccpc2025harbin,icpc2025nanjing,ccpc2025jinan,icpc2025shenyang,ccpc2025zhengzhou,icpc2025shanghai,ccpc2025chongqing,icpc2025hongkong,icpc2025ecfinal,ccpc2025final,final_rating,contests_participated
1,清华大学,刘海峰,清华大学,刘海峰,1595,1770,1933,1933,1933,2030,2030,2030,2105,2105,2105,2105,2105,2105,2105,2184,2194,2194,7
1,清华大学,徐骁扬,清华大学,徐骁扬,1595,1770,1933,1933,1933,2030,2030,2030,2105,2105,2105,2105,2105,2105,2105,2184,2194,2194,7
1,清华大学,陈诺,清华大学,陈诺,1595,1770,1933,1933,1933,2030,2030,2030,2105,2105,2105,2105,2105,2105,2105,2184,2194,2194,7
4,北京大学,方心童,北京大学,方心童,1719,1880,2045,2045,2045,2059,2059,2059,2092,2092,2092,2145,2145,2145,2145,2158,2138,2138,8
4,北京大学,蒋承佑,北京大学,蒋承佑,1719,1880,2045,2045,2045,2059,2059,2059,2092,2092,2092,2145,2145,2145,2145,2158,2138,2138,8
4,北京大学,郑钧,北京大学,郑钧,1719,1880,2045,2045,2045,2059,2059,2059,2092,2092,2092,2145,2145,2145,2145,2158,2138,2138,8
7,北京大学,沈吉滪,北京大学,沈吉滪,,1713,1851,1900,1900,1900,1900,1900,1900,1900,2001,2001,2001,2076,2076,2043,2128,2128,7
7,北京大学,郭羽冲,北京大学,郭羽冲,,1713,1851,1900,1900,1900,1900,1900,1900,1900,2001,2001,2001,2076,2076,2043,2128,2128,7
7,北京大学,陈昕阳,北京大学,陈昕阳,,1713,1851,1900,1900,1900,1900,1900,1900,1900,2001,2001,2001,2076,2076,2043,2128,2128,7
10,北京大学,彭博,北京大学,彭博,,1634,1818,1818,1818,1818,1951,1951,1951,2036,2036,2036,2101,2101,2101,2066,2066,2066,6
10,北京大学,施开成,北京大学,施开成,,1634,1818,1818,1818,1818,1951,1951,1951,2036,2036,2036,2101,2101,2101,2066,2066,2066,6
10,北京大学,钱易,北京大学,钱易,,1634,1818,1818,1818,1818,1951,1951,1951,2036,2036,2036,2101,2101,2101,2066,2066,2066,6
13,浙江大学,张湫阳,浙江大学,张湫阳,1688,1743,1857,1857,1857,1857,1795,1799,1799,1799,1893,1893,1893,1942,1942,1985,2027,2027,9
14,浙江大学,侯之远,浙江大学,侯之远,,1549,1722,1722,1722,1722,1722,1747,1747,1747,1856,1856,1856,1915,1915,1965,2013,2013,7
15,浙江大学,朱天煜,浙江大学,朱天煜,1688,1751,1863,1854,1854,1854,1854,1842,1842,1842,1842,1842,1869,1924,1924,1882,1954,1954,9
16,中山大学,刘铭仁,中山大学,刘铭仁,1539,1686,1801,1853,1853,1853,1823,1823,1823,1823,1823,1855,1855,1855,1855,1899,1938,1938,8
16,中山大学,孔德锐,中山大学,孔德锐,1539,1686,1801,1853,1853,1853,1823,1823,1823,1823,1823,1855,1855,1855,1855,1899,1938,1938,8
16,中山大学,董睿嘉,中山大学,董睿嘉,1539,1686,1801,1853,1853,1853,1823,1823,1823,1823,1823,1855,1855,1855,1855,1899,1938,1938,8
16,复旦大学,王瑞藻,复旦大学,王瑞藻,1581,1688,1688,1688,1688,1688,1725,1725,1725,1806,1806,1806,1806,1806,1860,1938,1938,1938,6
20,北京大学,朱剑枫,北京大学,朱剑枫,,1683,1683,1683,1683,1683,1683,1835,1835,1835,1887,1887,1887,1887,1956,1936,1936,1936,5
20,北京大学,李羿辰,北京大学,李羿辰,,1683,1683,1683,1683,1683,1683,1835,1835,1835,1887,1887,1887,1887,1956,1936,1936,1936,5
20,北京大学,王蔚澄,北京大学,王蔚澄,,1683,1683,1683,1683,1683,1683,1835,1835,1835,1887,1887,1887,1887,1956,1936,1936,1936,5
23,清华大学,戚朗瑞,清华大学,戚朗瑞,,1621,1796,1893,1893,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1934,1934,1934,5
23,清华大学,程思元,清华大学,程思元,,1621,1796,1893,1893,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1934,1934,1934,5
23,清华大学,魏佳泽,清华大学,魏佳泽,,1621,1796,1893,1893,1913,1913,1913,1913,1913,1913,1913,1913,1913,1913,1934,1934,1934,5
26,上海交通大学,冯启豫,上海交通大学,冯启豫,,,,1657,1657,1799,1799,1799,1799,1799,1799,1799,1799,1799,1799,1930,1930,1930,3
26,上海交通大学,刘家宁,上海交通大学,刘家宁,,,,1657,1657,1799,1799,1799,1799,1799,1799,1799,1799,1799,1799,1930,1930,1930,3
26,上海交通大学,朱泽木,上海交通大学,朱泽木,,,,1657,1657,1799,1799,1799,1799,1799,1799,1799,1799,1799,1799,1930,1930,1930,3
29,清华大学,仲煦北,清华大学,仲煦北,1583,1713,1799,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1929,1917,1917,6
29,清华大学,史家丞,清华大学,史家丞,1583,1713,1799,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1929,1917,1917,6
29,清华大学,李静榕,清华大学,李静榕,1583,1713,1799,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1929,1917,1917,6
32,复旦大学,张圣皓,复旦大学,张圣皓,1581,1688,1688,1688,1688,1688,1725,1725,1725,1806,1806,1806,1806,1806,1860,1938,1910,1910,7
32,复旦大学,朱翔宇,复旦大学,朱翔宇,1581,1688,1688,1688,1688,1688,1725,1725,1725,1806,1806,1806,1806,1806,1860,1938,1910,1910,7
34,浙江大学,严子轩,浙江大学,严子轩,1688,1743,1743,1743,1743,1743,1711,1711,1711,1711,1830,1830,1830,1830,1830,1905,1905,1905,5
35,清华大学,李昕然,清华大学,李昕然,1587,1713,1830,1830,1830,1830,1830,1830,1889,1903,1903,1903,1903,1903,1903,1903,1903,1903,5
35,清华大学,胡赵阳,清华大学,胡赵阳,1587,1713,1830,1830,1830,1830,1830,1830,1889,1903,1903,1903,1903,1903,1903,1903,1903,1903,5
35,清华大学,黄洛天,清华大学,黄洛天,1587,1713,1830,1830,1830,1830,1830,1830,1889,1903,1903,1903,1903,1903,1903,1903,1903,1903,5
38,清华大学,任舍予,清华大学,任舍予,1605,1746,1746,1746,1746,1746,1746,1746,1809,1809,1809,1899,1899,1899,1899,1899,1899,1899,4
38,清华大学,郑玄晔,清华大学,郑玄晔,1605,1746,1746,1746,1746,1746,1746,1746,1809,1809,1809,1899,1899,1899,1899,1899,1899,1899,4
38,清华大学,郭雨豪,清华大学,郭雨豪,1605,1746,1746,1746,1746,1746,1746,1746,1809,1809,1809,1899,1899,1899,1899,1899,1899,1899,4
41,北京大学,张恒毅,北京大学,张恒毅,1670,1749,1869,1869,1869,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,4
